,Value
0,https://mastodon.social/packs/media/images/logo-d4b5dc90fd3e117d141ae7053b157f58.svg
1,https://files.mastodon.social/cache/accounts/avatars/111/593/569/457/572/628/static/92ddd4c2d71f0bd3.png
2,https://files.mastodon.social/cache/custom_emojis/images/000/176/707/static/ebb2bfb9e9e572ef.png
3,https://mastodon.social/emoji/1f943.svg
4,https://mastodon.social/emoji/1f3ae_border.svg
5,https://mastodon.social/emoji/1f480.svg
6,https://files.mastodon.social/cache/media_attachments/files/111/973/625/551/993/385/small/8f8dd04850d01b58.jpeg
7,https://files.mastodon.social/accounts/avatars/108/217/109/248/927/065/static/3696ba6d499a9866.png
8,https://files.mastodon.social/cache/accounts/avatars/111/669/406/050/017/991/original/5ae9e25622514b0b.png
9,https://files.mastodon.social/cache/media_attachments/files/111/972/103/502/036/211/small/6c8fc2653f9d6ca9.jpg
